captured_at,capture_season,capture_week,source,season,conference,team,offense_overall,offense_passing,offense_rushing,offense_firstDown,offense_secondDown,offense_thirdDown,offense_cumulative,defense_overall,defense_passing,defense_rushing,defense_firstDown,defense_secondDown,defense_thirdDown,defense_cumulative
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mountain West,Northern Illinois,-0.11,-0.01,-0.04,-0.06,-0.25,0.24,"{'total': -16, 'passing': -0.56, 'rushing': -2.3}",0.28,0.4,0.21,-0.12,0.27,1.16,"{'total': 46.4, 'passing': 358.7, 'rushing': 14.4}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,American Athletic,North Texas,0.26,0.39,0.13,0.13,0.2,0.98,"{'total': 50.9, 'passing': 40.87, 'rushing': 10.7}",0.29,0.93,-0.04,0.15,0.37,0.64,"{'total': 50.9, 'passing': 603.4, 'rushing': -4.1}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Northwestern,0.37,0.66,0.19,0.41,0.14,0.63,"{'total': 41.3, 'passing': 29.58, 'rushing': 12.2}",0.02,-0.01,0.03,0.05,0.05,0.21,"{'total': 3.4, 'passing': -6.4, 'rushing': 2.2}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,FBS Independents,Notre Dame,0.34,0.54,0.17,0.25,0.4,0.43,"{'total': 55.3, 'passing': 38.55, 'rushing': 14.1}",-0.22,-0.14,-0.26,-0.37,-0.22,-0.12,"{'total': -27.5, 'passing': -73.5, 'rushing': -18.6}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Mid-American,Ohio,0.2,0.08,0.26,0.01,0.17,0.62,"{'total': 36.2, 'passing': 7.28, 'rushing': 24.1}",0.39,0.59,0.27,-0.02,0.52,0.96,"{'total': 81.3, 'passing': 471.9, 'rushing': 34.8}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Ohio State,0.34,0.56,0.1,0.34,0.35,0.67,"{'total': 50.7, 'passing': 45.68, 'rushing': 6.6}",-0.14,-0.16,-0.13,-0.42,0.17,0.14,"{'total': -20.6, 'passing': -116.4, 'rushing': -8.5}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Oklahoma,0.02,0.28,-0.09,-0.03,0.15,0.11,"{'total': 2.8, 'passing': 21.09, 'rushing': -6.8}",-0.18,-0.19,-0.07,-0.38,0.03,-0.02,"{'total': -26.8, 'passing': -112.8, 'rushing': -5.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big 12,Oklahoma State,0.03,0.15,-0.01,0.03,0.26,0.01,"{'total': 6.2, 'passing': 16.66, 'rushing': -1.2}",0.01,0.07,-0.06,-0.13,0.29,0.17,"{'total': 2.1, 'passing': 48.1, 'rushing': -3.8}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Sun Belt,Old Dominion,-0.06,-0.1,-0.02,-0.27,-0.07,0.56,"{'total': -9.5, 'passing': -5.02, 'rushing': -1.5}",-0.09,0.08,-0.2,-0.29,-0.02,0.42,"{'total': -16.7, 'passing': 61.1, 'rushing': -20.9}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,SEC,Ole Miss,0.29,0.43,0.2,0.08,0.54,0.41,"{'total': 58.6, 'passing': 47.92, 'rushing': 16.2}",0.19,0.33,0.09,0.22,-0.1,0.53,"{'total': 34.8, 'passing': 261.8, 'rushing': 9.3}"
2026-09-24T13:53:40+00:00,2026,4,ppa,2026,Big Ten,Oregon,0.23,0.23,0.2,0.27,0.47,0.56,"{'total': 37.1, 'passing': 22.03, 'rushing': 13}",-0.03,-0.1,0.05,0.07,0.01,-0.27,"{'total': -5.4, 'passing': -88.6, 'rushing': 4.1}"
